ID,Datos,Frecuencia,Disparo,Disparo Único
7DF,02010C0000000000,5000,0,0
7DF,02010D0000000000,1000,1000,0
7DF,0201050000000000,5000,5050,0
7DF,0201110000000000,5000,5200,0
7DF,02010B0000000000,5000,5300,0
7DF,02010E0000000000,5000,5500,0
7DF,02015D0000000000,5000,5400,0
7DF,02015E0000000000,5000,5650,0
7DF,02015C0000000000,5000,5800,0
7DF,0201040000000000,10000,1050,0
7DF,02010F0000000000,10000,10600,0
7DF,0201490000000000,10000,10750,0
7DF,02014A0000000000,10000,10800,0
7DF,02011F0000000000,10000,10900,0
7DF,02010A0000000000,10000,10950,0
7DF,02012F0000000000,15000,15500,0
7DF,0201030000000000,15000,15900,0
7DF,0201460000000000,20000,20000,0
7DF,0201420000000000,20000,20500,0
7DF,0201210000000000,20000,25000,0
7DF,0103000000000000,0,500,1
7DF,0107000000000000,0,100,1
